x_Pt,x_Cu,x_CuO,x_La,x_NiTiO3,HydrothermalHeat_C_,RXN_Temp__C_,H2Reduction_C_,TempCalcine,glycerol_mL,glucose_mL_,ball_milledCellulose_g_,Ethanol,photocat,cat_Loading,bandgap,crystalSize,liquidSolution,methanol,pH,IrradiationTime,BETSurfaceArea,light_W_,UVWavelength_nm_,VolumeOfReactor,Hydrogen_micromol_
0,1.21,0,0,0,0,25,0,400,0,1.25,0,0,0.03,1,2.8,22.5,25,0,7,120,28,1000,380,0.05,0.85
0,0.97,0,0,0,0,25,0,0,0,1.25,0,0,0.03,1,2.8,23.1,25,0,7,120,28,1000,380,0.05,1.28
0,1.56,0,0,0,0,25,300,0,0,1.25,0,0,0.03,1,2.8,22.1,25,0,7,120,28,1000,380,0.05,1.31
0,0,0,0,2,0,25,0,650,0,0,0,10,0.002,0.02,2.95,29.9,100,0,5,32,28,0.18,420,0.1,1.8
0,0,0,0,5,0,25,0,650,0,0,0,10,0.002,0.02,2.81,27,100,0,5,32,28,0.18,441,0.1,2.25
0,0,0,0,0,0,24,0,800,15.87,0,0,0,0.05,0.5,3,105,100,0,6.55,180,7,180,413,0.1,2.5
0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,1,3.1,21,100,50,6.2,60,55,1.3,400,0.35,2.5
1,0,0,0,0,0,25,0,0,0,0,0,0,0.001,0.05,3.2,21,20,0,8,60,53.8,500,387.5,0.02,3.04
0,0,0,1.04,0,0,25,0,450,0,0,0,0,0.1,1,2.95,7,100,50,5.5,240,109,8,420,0.2,3.79
0,0,0,1.64,0,0,25,0,450,0,0,0,0,0.1,1,2.95,6.6,100,50,5.5,240,113,8,420,0.2,3.79
0,0,0,0,0,0,25,0,900,0,0,0,0,0.2,1,2.98,96,200,50,5,480,1,120,416,0.2,3.92
0,0,0,0,0.5,0,25,0,650,0,0,0,10,0.002,0.02,3.13,33.1,100,0,5,27.5,28,0.18,396,0.1,4.6
0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,1,3.1,21,100,50,6.2,60,55,1.4,400,0.35,4.88
0,0,0,0,0,0,25,0,450,0,0,0,0,0.1,1,2.97,9.6,100,50,6.5,240,73,8,418,0.2,4.9
0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,1,3.1,21,100,50,6.2,120,55,1.3,400,0.35,5
0,0,0,0.46,0,0,25,0,450,0,0,0,0,0.1,1,2.96,8.8,100,50,5.5,240,90,8,419,0.2,6.07
0,0,0,0,0,0,25,0,450,0,0,0,0,0.1,1,2.85,14.4,20,50,7,240,80,8,435,0.1,7.2
1,0,0,0,0,0,25,0,400,0,0,0,0,0.001,0.05,3.21,28.9,20,0,8,60,46,500,386,0.02,7.41
0,0,0,0.8,0,0,25,0,450,0,0,0,0,0.1,1,2.95,7.8,100,50,5.5,240,101,8,420,0.2,7.49
0,0,0,0.18,0,0,25,0,450,0,0,0,0,0.1,1,2.96,10.4,100,50,5.5,240,73,8,419,0.2,7.99
0.3,0,0,0,0,0,60,0,0,0,0,0,0,0.3,0.75,3.2,21,400.81,0.81,7,70,55,450,387.5,0.45,8.38
0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,1,3.1,21,100,50,6.2,180,55,1.3,400,0.35,8.5
0,0,0,0,0,0,25,0,0,0,0,0,0,0.05,0.5,3.1,21,100,50,6.2,60,55,1.4,400,0.35,8.63
0,0,0,0,1,0,25,0,650,0,0,0,10,0.002,0.02,3.07,31,100,0,5,27.5,28,0.18,404,0.1,9.3
0,0,0,0,0,0,25,0,0,0,0,0,0,0.01,0.1,3.1,21,100,50,6.2,60,55,1.4,400,0.35,9.38
0.3,0,0,0,0,0,60,0,0,0,0,0,0,0.3,0.75,3.2,22,400.04,0.04,7,70,55,450,387.5,0.45,9.63
0.91,0,0,0,0,0,25,0,400,0,1.25,0,0,0.03,1,3.1,22,25,0,7,120,55,1000,413,0.5,10
0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,1,3.1,21,100,50,6.2,120,55,1.4,400,0.35,10.5
0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,1,3.1,21,100,50,6.2,240,55,1.3,400,0.35,11.5
0,0,0,0,0,0,25,0,0,0,0,0,0,0.3,0.75,3.21,25.5,400.12,0,7,60,55,250,386,0.05,12.5
0.3,0,0,0,0,0,60,0,0,0,0,0,0,0.3,0.75,3.2,66,400.12,0.12,7,70,6.17,450,387.5,0.45,13.13
0,0,0,0,0,0,25,0,800,0,0,0,0,0.2,1,2.99,66,200,50,5,480,6.17,120,415,0.2,13.6
0,0,0,0,0,0,25,0,0,0,0,0,0,0.03,0.25,3.1,21,100,50,6.2,60,55,1.4,400,0.35,13.88
0.3,0,0,0,0,0,60,0,0,0,0,0,0,0.3,0.75,3.2,33,400.12,0.12,7,120,23.84,450,387.5,0.45,14.63
0,0,0,0,0,0,25,0,600,0,0,0,0,0.2,1,3.22,33,200,50,5,480,23.84,120,385,0.2,15.2
0.3,0,0,0,0,0,60,0,0,0,0,0,0,0.3,0.75,3.2,33,400.81,0.81,7,120,23.84,450,387.5,0.45,16.25
0.3,0,0,0,0,0,60,0,0,0,0,0,0,0.3,0.75,3.2,15,400.04,0.04,7,120,296,450,387.5,0.45,17.75
0,0,0,0,0,0,24,0,0,15.87,0,0,0,0.05,0.5,3.03,15,100,0,6.55,180,296,180,410,0.1,18.64
0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,1,3.1,21,100,50,6.2,180,55,1.4,400,0.35,21.38
0,0,0,0,0,0,25,0,0,0,0,0,0,0.01,0.1,3.1,21,100,50,6.2,120,55,1.4,400,0.35,21.75
0,0,0,0,0,0,25,0,650,0,0,0,0,0.2,1,3.2,38,200,50,5,480,23.71,120,387.5,0.2,22
0,0,0,0,0,0,25,0,0,0,0,0,0,0.05,0.5,3.1,21,100,50,6.2,120,55,1.4,400,0.35,23
0,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.21,25.5,200,0,7,120,37.4,250,386,0.05,24
0,0,0,0,0,0,25,0,500,0,0,0,0,0.2,1,3.23,19,200,50,5,480,37.4,120,384,0.2,24
0,0,0,0,0,0,25,0,400,0,0,0,0,0.2,1,3.22,13,200,50,5,480,61.2,120,385,0.2,26.96
0,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.27,21,200,50,5,480,75.9,120,379,0.2,28
0,0,0,0,0,0,25,0,0,0,0,1,0,0.02,0.04,3.05,25,500,0,7,300,50,150,406,0.5,29.7
0,0,0.2,0,0,0,25,0,400,0,0,0,0,0.02,0.2,3.08,10.9,100,10,6.8,180,63,300,402,0.1,30
0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,1,3.1,21,100,50,6.2,240,55,1.4,400,0.35,30.75
0,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.18,23,200,50,5,480,48.6,120,390,0.2,32
0,0,0,0,0,0,25,0,0,0,0,0,0,0.01,0.1,3.1,21,100,50,6.2,180,55,1.4,400,0.35,35.85
0,0,0,0,0,0,25,0,0,0,0,0,0,0.03,0.25,3.21,45,100,0,7,180,55,250,386,0.05,36
0,0,0,0,0,0,25,0,0,0,0,0,0,0.03,0.25,3.1,21,100,50,6.2,120,55,1.4,400,0.35,36
0,0,0,0,0,0,24,0,600,15.87,0,0,0,0.05,0.5,3.01,38,100,0,6.55,180,50,180,412,0.1,36.9
0,0,0,0,0,0,25,0,0,0,0,0,0,0.05,0.5,3.1,21,100,50,6.2,180,55,1.4,400,0.35,39
0,0,0,0,0,0,24,0,400,15.87,0,0,0,0.05,0.5,3.03,24,100,0,6.55,180,86,180,410,0.1,41
0,1,0,0,0,0,25,0,500,0,0,1,0,0.02,0.04,2.82,38,500,0,7,300,50,150,440,0.5,43.7
0,0,1,0,0,0,25,0,400,0,0,0,0,0.02,0.2,3,11.05,100,10,6.8,180,59,300,413,0.1,44.44
0,0,10,0,0,0,25,0,400,0,0,0,0,0.02,0.2,2.8,11.75,100,10,6.8,180,47,300,443,0.1,45
0,0,0,0,0,0,25,0,0,0,0,0,0,0.01,0.1,3.21,25.5,100,0,7,240,55,250,386,0.05,47.5
0,0,0,0,0,0,25,0,0,0,0,0,0,0.01,0.1,3.1,21,100,50,6.2,240,55,1.4,400,0.35,48.75
0,1,0,0,0,0,25,500,500,0,0,1,0,0.02,0.04,2.24,35,500,0,7,300,50,150,554,0.5,51
0,1,0,0,0,0,25,0,0,0,0,1,0,0.02,0.04,2.97,36,500,0,7,300,50,150,426,0.5,54.9
0,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.21,25.5,200,0,7,300,202,250,386,0.05,58.5
0,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.26,9,200,50,5,480,202,120,380,0.2,60
0,0,0,0,0,0,25,0,0,0,0,0,0,0.03,0.25,3.1,21,100,50,6.2,180,55,1.4,400,0.35,60
0,0,0,0,0,0,25,0,0,0,0,0,0,0.05,0.5,3.1,21,100,50,6.2,240,55,1.4,400,0.35,65.25
0,0,0,0,0,0,25,0,750,0,0,0,0,0.2,1,3.1,54,200,50,5,480,17.42,120,400,0.2,68
0,1,0,0,0,0,25,0,0,0,0,1,0,0.02,0.04,2.91,26,500,0,7,300,50,150,426,0.5,73.1
0.98,0,0,0,0,0,25,300,0,0,1.25,0,0,0.03,1,3.11,21.9,25,0,7,120,224.2,1000,413,0.5,75
0,0,0,0,0,150,25,0,0,0,0,0,0,0.2,1,3.11,6,200,50,5,480,224.2,120,399,0.2,75.12
0,0,0,0,0,0,25,0,0,0,0,0,0,0.03,0.25,3.1,21,100,50,6.2,240,55,1.4,400,0.35,85.13
0,0,0,0,0,0,25,0,700,0,0,0,0,0.2,1,3.16,45,200,50,5,480,19.92,120,392,0.2,85.92
0.87,0,0,0,0,0,25,0,0,0,1.25,0,0,0.03,1,3.07,24.5,25,0,7,120,108,1000,413,0.5,90.63
0.1,0,0,0,0,0,24,0,400,0,0,0,0,0.05,0.5,3.07,24,100,20,5.3,180,108,0.3,375,0.1,104
0,0,0,0,0,0,20,0,350,0,0,0,0,0.2,1,3.2,11,200,50,7,200,55,300,387.5,0.2,111.11
0,0,5,0,0,0,25,0,400,0,0,0,0,0.02,0.2,2.84,11,100,10,6.8,180,55,300,437,0.1,120
2,0,0,0,0,0,24,0,400,0,0,0,0,0.05,0.5,3.12,25,100,20,7.2,180,90,0.3,375,0.1,129.5
0.2,0,0,0,0,0,24,0,400,0,0,0,0,0.05,0.5,3.07,23,100,20,5.7,180,94,0.3,375,0.1,147
0.5,0,0,0,0,0,24,0,400,0,0,0,0,0.05,0.5,3.07,24,100,20,5.3,180,95,0.3,375,0.1,172.5
0,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.24,7,200,50,5,480,259,120,383,0.2,175.2
1,0,0,0,0,0,24,0,400,0,0,0,0,0.05,0.5,3.09,23,100,20,5.2,180,95,0.3,375,0.1,188.5
0,0,0,0,0,0,25,0,0,0,0,0,0,0.05,0.5,2.8,21,100,10,7,180,50,300,443,0.1,225
2.51,0,0,0,0,0,25,0,0,1.26,0,0,0,0.03,5,3.05,19,5,0,7,240,100,20,407,0.01,269
5,0,0,0,0,0,25,0,0,2.5,0,0,0,0.01,2.53,3,20,5,0,7,240,100,20,413,0.01,272
0,0,0,0,0,0,25,0,500,0,0,0,0,0.05,0.5,2.8,13.6,100,10,7,180,92,300,443,0.1,300
0,0,0,0,0,190,25,0,400,0,0,0,10,0.01,0.2,3.21,57.2,50,0,7,300,37,180,386,0.12,360
0,0,0,0,0,0,25,0,500,0,0,0,0,0.05,0.5,2.8,46.4,100,10,7,180,73,300,443,0.1,364
0,0,0,0,0,190,25,0,400,0,0,0,10,0.01,0.2,3.21,46.4,50,0,7,300,73,180,386,0.12,475
0,0,0,0,0,190,25,0,400,0,0,0,10,0.01,0.2,3.21,48.2,50,0,7,300,39,180,386,0.12,515
0,0,0,0,0,0,25,0,700,0,0,0,0,0.2,1,3.2,10,100,20,7,150,100,300,387.5,0.1,660
0,0.1,0,0,0,0,20,0,350,0,0,0,0,0.2,1,3.12,9.5,200,50,7,200,182,300,397,0.2,933.33
0,0,0,0,0,120,25,0,400,0,0,0,10,0.01,0.2,3.07,9.5,50,0,7,300,182,180,404,0.12,965
0,0,0,0,0,150,25,0,400,0,0,0,10,0.01,0.2,3.28,16.9,50,0,7,300,174,180,378,0.12,1020
0,0,0,0,0,120,25,0,400,0,0,0,10,0.01,0.2,3.28,17.6,50,0,7,300,149,180,378,0.12,1120
0,0,0,0,0,120,25,0,400,0,0,0,10,0.01,0.2,3.28,18.2,50,0,7,300,146,180,378,0.12,1355
0,0,0,0,0,150,25,0,400,0,0,0,10,0.01,0.2,3.28,18.8,50,0,7,300,137,180,378,0.12,1415
0,0,0,0,0,150,25,0,400,0,0,0,10,0.01,0.2,3.28,58.3,50,0,7,300,61,180,378,0.12,1420
0,0,0,0,0,190,25,0,400,0,0,0,10,0.01,0.2,3.28,21.5,50,0,7,300,125,180,378,0.12,1490
0.1,0,0,0,0,0,25,0,350,0,0,0,40,0.06,0.75,3.22,15.1,80,0,7,1440,69.8,150,385,0.1,1641.6
0,0,0,0,0,150,25,0,400,0,0,0,10,0.01,0.2,3.28,20.5,50,0,7,300,148,180,378,0.12,1915
0,0,0,0,0,150,25,0,400,0,0,0,10,0.01,0.2,3.28,19.8,50,0,7,300,152,180,378,0.12,1945
0,0,0,0,0,150,25,0,400,0,0,0,10,0.01,0.2,3.28,19.5,50,0,7,300,151,180,378,0.12,1965
0,0,0,0,0,150,25,0,400,0,0,0,10,0.01,0.2,3.28,21.2,50,0,7,300,140,180,378,0.12,1975
0,0,0,0,0,0,25,0,0,0,0,0,20,1,1,3.1,21,1000,0,4,1200,50,15,400,6,2072
0,6,0,0,0,0,20,0,350,0,0,0,0,0.2,1,3.14,13.7,200,50,7,200,91,300,395,0.2,2088.89
1,0,0,0,0,0,25,0,500,0,0,0,0,0.05,0.5,2.8,13.7,100,10,7,180,91,300,443,0.1,2093
0,0,0,0,0,120,25,0,400,0,0,0,10,0.01,0.2,3.28,19.9,50,0,7,300,138,180,378,0.12,2315
0,9,0,0,0,0,20,0,350,0,0,0,0,0.2,1,3.16,19.9,200,50,7,200,138,300,392,0.2,2711.11
0,0.5,0,0,0,0,20,0,350,0,0,0,0,0.2,1,3.03,19.9,200,50,7,200,138,300,409,0.2,3111.11
0,2,0,0,0,0,20,0,350,0,0,0,0,0.2,1,3.1,22,200,50,7,200,52,300,400,0.2,3266.67
0,1.5,0,0,0,0,20,0,350,0,0,0,0,0.2,1,3.05,22,200,50,7,200,52,300,407,0.2,3355.55
0,3,0,0,0,0,20,0,350,0,0,0,0,0.2,1,3.05,22,200,50,7,200,52,300,407,0.2,3444.45
1,0,0,0,0,0,25,0,0,0,0,0,20,1,1,3.21,22,1000,0,4,1200,52,15,386,6,4142
0.5,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,2.97,23.4,200,50,5,480,45.4,120,418,0.2,4220
1,0,0,0,0,0,25,0,550,0,0,0,20,1,1,2.59,10,1000,0,4,1200,136,15,479,6,5682
1,0,0,0,0,0,25,0,500,0,0,0,20,1,1,2.62,9,1000,0,4,1200,152,15,473,6,6001.8
2.1,0,0,0,0,150,25,0,0,0,0,0,0,0.2,1,2.6,6.6,200,50,5,480,247.6,120,477,0.2,6392
1,0,0,0,0,150,25,0,0,0,0,0,0,0.2,1,2.72,7.3,200,50,5,480,194.6,120,456,0.2,7824
5,0,0,0,0,0,25,0,550,0,0,0,20,1,1,2.88,11,1000,0,4,1200,155,15,431,6,8102
0.5,0,0,0,0,0,25,0,750,0,0,0,0,0.2,1,3.09,44.5,200,50,5,480,17.69,120,401,0.2,9200
0.5,0,0,0,0,0,25,0,400,0,0,0,0,0.2,1,3.16,14,200,50,5,480,62.16,120,392,0.2,9600
0.1,0,0,0,0,0,25,0,400,0,0,0,0,0.2,1,3.25,32,750,150,6.2,300,103,400,382,1.5,9643
1,0,0,0,0,0,25,0,400,0,0,0,0,0.2,1,3.16,13.5,200,50,5,480,70.3,120,392,0.2,10200
0.5,0,0,0,0,150,25,0,0,0,0,0,0,0.2,1,2.88,7.4,200,50,5,480,218.5,120,431,0.2,10448
2.5,0,0,0,0,0,25,0,500,0,0,0,20,1,1,2.44,9,1000,0,4,1200,100,15,508,6,11860.7
2.1,0,0,0,0,0,25,0,400,0,0,0,0,0.2,1,3.12,13.5,200,50,5,480,74.8,120,397,0.2,12040
0.5,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.21,10.4,200,50,5,480,266,120,387,0.2,12500
2.5,0,0,0,0,0,25,0,550,0,0,0,20,1,1,2.34,10,1000,0,4,1200,150,15,530,6,13372
0.5,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.21,8.1,200,50,5,480,290,120,386,0.2,14700
1,0,0,0,0,0,25,0,750,0,0,0,0,0.2,1,3.07,44.5,200,50,5,480,18.54,120,404,0.2,14768
2.1,0,0,0,0,0,25,0,750,0,0,0,0,0.2,1,3.01,44.9,200,50,5,480,17.94,120,412,0.2,14768
2.1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.2,8,200,50,5,480,280,120,387.5,0.2,17600
1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,2.9,23.7,200,50,5,480,50.2,120,428,0.2,17700
1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.17,8,200,50,5,480,278,120,392,0.2,18400
2.1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.18,10.9,200,50,5,480,276.5,120,390,0.2,18800
1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,3.2,10.6,200,50,5,480,250,120,387.5,0.2,19496
2.1,0,0,0,0,0,25,0,0,0,0,0,0,0.2,1,2.83,23.6,200,50,5,480,49.2,120,438,0.2,22384
